,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
39,003-010,22.2369664,22.2610686,114.1258814,114.15764633333332,2,3.5,101.0,92,0,7,Southern,22.352538080893826,1,1.7882030464715062,12.611537753638338,14.399740800109845
40,003-011,22.2369664,22.2610686,114.15764633333332,114.18941126666668,0,,,46,0,0,,11.166254196324815,0,0.8933003357059852,0.0,0.8933003357059852
41,003-012,22.2369664,22.2610686,114.18941126666668,114.2211762,0,,,21,0,0,,5.097637785278719,0,0.40781102282229753,0.0,0.40781102282229753
42,003-013,22.2369664,22.2610686,114.2211762,114.25294113333334,0,,,15,0,0,,3.641169846627657,0,0.2912935877302126,0.0,0.2912935877302126
43,003-014,22.2369664,22.2610686,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
44,003-015,22.2369664,22.2610686,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
45,004-001,22.2610686,22.2851708,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
46,004-002,22.2610686,22.2851708,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
47,004-003,22.2610686,22.2851708,113.90352686666668,113.9352918,1,3.6,214.0,13,0,3,,3.1642646858486256,1,0.25314117486789006,12.611537753638338,12.864678928506228
48,004-004,22.2610686,22.2851708,113.9352918,113.96705673333334,0,,,19,0,1,Islands District,4.615009856429918,0,0.3692007885143934,0.0,0.3692007885143934
49,004-005,22.2610686,22.2851708,113.96705673333334,113.99882166666669,0,,,4,0,0,,0.9709786257673751,0,0.07767829006139002,0.0,0.07767829006139002
50,004-006,22.2610686,22.2851708,113.99882166666669,114.0305866,1,3.9,140.0,3,0,2,,0.7339567373953023,1,0.058716538991624184,12.611537753638338,12.670254292629961
51,004-007,22.2610686,22.2851708,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
52,004-008,22.2610686,22.2851708,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
53,004-009,22.2610686,22.2851708,114.09411646666666,114.1258814,0,,,26,0,0,,6.311361067487939,0,0.5049088853990351,0.0,0.5049088853990351
54,004-010,22.2610686,22.2851708,114.1258814,114.15764633333332,7,3.814285714285714,182.71428571428572,124,0,4,Central and Western District,30.111782934928172,1,2.4089426347942537,12.611537753638338,15.020480388432592
55,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,6,Wan Chai,38.561334006996674,1,3.084906720559734,12.611537753638338,15.69644447419807
56,004-012,22.2610686,22.2851708,114.18941126666668,114.2211762,0,,,77,2,5,,16.20445406980105,0,1.296356325584084,0.0,1.296356325584084
